# t_cor, memoryf, rdudt, uu 
 (0.0000000e+00+0.0000000e+00j)  (1.2779991e-01-8.6734717e-19j)  (5.5949720e-03+8.0344459e-20j)  (4.3779155e-02+0.0000000e+00j)
 (3.9000000e+00+0.0000000e+00j)  (-1.9859724e-03+2.1682317e-03j)  (-8.6944191e-05+9.4923350e-05j)  (3.7824966e-02+2.1352491e-03j)

 (3.9500000e+00+0.0000000e+00j)  (-1.5797103e-03+1.9757248e-03j)  (-6.9158380e-05+8.6495563e-05j)  (3.7751767e-02+2.1665128e-03j)

 (4.0000000e+00+0.0000000e+00j)  (-1.0980928e-03+1.9351890e-03j)  (-4.8073574e-05+8.4720937e-05j)  (3.7679037e-02+2.1975098e-03j)

 (4.0500000e+00+0.0000000e+00j)  (-6.9919167e-04+2.2034420e-03j)  (-3.0610020e-05+9.6464830e-05j)  (3.7606160e-02+2.2283481e-03j)

 (4.1000000e+00+0.0000000e+00j)  (-4.8228808e-04+2.7891455e-03j)  (-2.1114165e-05+1.2210643e-04j)  (3.7533301e-02+2.2594192e-03j)

 (4.1500000e+00+0.0000000e+00j)  (-2.9525952e-04+3.4997640e-03j)  (-1.2926212e-05+1.5321671e-04j)  (3.7460990e-02+2.2906507e-03j)

 (4.2000000e+00+0.0000000e+00j)  (8.8521052e-05+4.2591728e-03j)  (3.8753768e-06+1.8646299e-04j)  (3.7388933e-02+2.3215849e-03j)

 (4.2500000e+00+0.0000000e+00j)  (4.9915354e-04+5.1339908e-03j)  (2.1852520e-05+2.2476178e-04j)  (3.7316492e-02+2.3521483e-03j)

 (4.3000000e+00+0.0000000e+00j)  (7.0355412e-04+6.0055237e-03j)  (3.0801005e-05+2.6291675e-04j)  (3.7243868e-02+2.3826011e-03j)

 (4.3500000e+00+0.0000000e+00j)  (7.6206094e-04+6.6568051e-03j)  (3.3362384e-05+2.9142930e-04j)  (3.7171585e-02+2.4128286e-03j)

 (4.4000000e+00+0.0000000e+00j)  (9.1169581e-04+6.9853529e-03j)  (3.9913272e-05+3.0581285e-04j)  (3.7099230e-02+2.4423637e-03j)

 (4.4500000e+00+0.0000000e+00j)  (1.0443178e-03+7.1193461e-03j)  (4.5719351e-05+3.1167895e-04j)  (3.7026048e-02+2.4710878e-03j)

 (4.5000000e+00+0.0000000e+00j)  (1.0392554e-03+7.0930772e-03j)  (4.5497723e-05+3.1052892e-04j)  (3.6952258e-02+2.4992368e-03j)

 (4.5500000e+00+0.0000000e+00j)  (8.7410483e-04+6.8202963e-03j)  (3.8267570e-05+2.9858681e-04j)  (3.6878519e-02+2.5267879e-03j)

 (4.6000000e+00+0.0000000e+00j)  (6.5106626e-04+6.3017288e-03j)  (2.8503130e-05+2.7588436e-04j)  (3.6804546e-02+2.5534548e-03j)

 (4.6500000e+00+0.0000000e+00j)  (3.4563944e-04+5.6878296e-03j)  (1.5131802e-05+2.4900837e-04j)  (3.6729730e-02+2.5792613e-03j)

 (4.7000000e+00+0.0000000e+00j)  (-2.9573180e-05+5.0670321e-03j)  (-1.2946888e-06+2.2183038e-04j)  (3.6654431e-02+2.6045080e-03j)

 (4.7500000e+00+0.0000000e+00j)  (-4.7166111e-04+4.3859513e-03j)  (-2.0648925e-05+1.9201324e-04j)  (3.6579397e-02+2.6292485e-03j)

 (4.8000000e+00+0.0000000e+00j)  (-8.9553458e-04+3.6275916e-03j)  (-3.9205747e-05+1.5881289e-04j)  (3.6504365e-02+2.6533362e-03j)

 (4.8500000e+00+0.0000000e+00j)  (-1.2799235e-03+2.8794309e-03j)  (-5.6033970e-05+1.2605905e-04j)  (3.6428679e-02+2.6769113e-03j)

 (4.9000000e+00+0.0000000e+00j)  (-1.7089373e-03+2.1814234e-03j)  (-7.4815829e-05+9.5500871e-05j)  (3.6352619e-02+2.7003204e-03j)

 (4.9500000e+00+0.0000000e+00j)  (-2.2409069e-03+1.4570852e-03j)  (-9.8105011e-05+6.3789959e-05j)  (3.6276836e-02+2.7236285e-03j)

